URL,İlan No,İlan Tarihi,İlçe,İl,Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Takasa Uygun,Kimden
"https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-6-tdci-style/sahibinden-ford-focus-1-6-tdci-style-2011-model/35317151","35317151",30 Kasım 2025,"Karşıyaka","İzmir","630.000 TL","Ford","Focus","1.6 TDCi Style","2011","185.000 km","Düz","Dizel","Hatchback/5","Beyaz","1560 cc","115 hp","Önden Çekiş","İkinci El","4,2 lt","53 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-6-tdci-ghia/sahibinden-ford-focus-1-6-tdci-ghia-2007-model/31307104","31307104",30 Kasım 2025,"Çeşme","İzmir","425.000 TL","Ford","Focus","1.6 TDCi Ghia","2007","298.000 km","Düz","Dizel","Hatchback/5","Mavi (metalik)","1560 cc","110 hp","Önden Çekiş","İkinci El","4,8 lt","55 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-0-9-tce-stepway/sahibinden-dacia-sandero-0-9-tce-stepway-2019-model/35316050","35316050",30 Kasım 2025,"Buca","İzmir","825.000 TL","Dacia","Sandero","0.9 TCe Stepway","2019","38.500 km","Düz","LPG & Benzin","Hatchback/5","Kahverengi","898 cc","90 hp","Önden Çekiş","İkinci El","5,1 lt","50 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-citroen-c3-1-2-puretech-feel/sahibinden-dusuk-km-nokta-hata-yok/35314984","35314984",30 Kasım 2025,"Buca","İzmir","945.000 TL","Citroen","C3","1.2 PureTech Feel","2023","15.900 km","Düz","Benzin","Hatchback/5","Beyaz","1199 cc","83 hp","Önden Çekiş","İkinci El","4,2 lt","45 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-renault-megane-1-4-authentique/sahibinden-renault-megane-1-4-authentique-2005-model/35315831","35315831",30 Kasım 2025,"Karabağlar","İzmir","365.000 TL","Renault","Megane","1.4 Authentique","2005","288.000 km","Düz","LPG & Benzin","Hatchback/5","Gri","1390 cc","95 hp","Önden Çekiş","İkinci El","6,6 lt","60 lt",,"Sahibinden"
"https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-1-6-tdi-ambition/audi-a3-sedan-1-6-tdi-ambition-2013-model-izmir/34443512","34443512",30 Kasım 2025,"Bergama","İzmir","1.155.000 TL","Audi","A3","A3 Sedan 1.6 TDI Ambition","2013","194.000 km","Yarı Otomatik","Dizel","Sedan","Füme","1598 cc","105 hp","Önden Çekiş","İkinci El","3,9 lt","50 lt","Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-fiat-marea-1-6-liberty/fiat-marea-1-6-liberty-2005-model-izmir/24439379","24439379",30 Kasım 2025,"Bergama","İzmir","355.000 TL","Fiat","Marea","1.6 Liberty","2005","325.000 km","Düz","LPG & Benzin","Sedan","Gri (Gümüş)","1596 cc","103 hp","Önden Çekiş","İkinci El","8,1 lt","63 lt","Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/sahibinden-satilik-tofas-dogan-l/sahibinden-tofas-dogan-l-1992-model-izmir/35315690","35315690",30 Kasım 2025,"Torbalı","İzmir","137.000 TL","Tofaş","Doğan","L","1992","66.500 km","Düz","LPG & Benzin","Sedan","Bordo","1581 cc","83 hp","Arkadan İtiş","İkinci El","6,5 lt","50 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-honda-civic-1-6-i-vtec-elegance/sahibinden-honda-civic-1-6-i-vtec-elegance-2011-model-konya/35316741","35316741",30 Kasım 2025,"Menemen","İzmir","920.000 TL","Honda","Civic","1.6 i-VTEC Elegance","2011","164.000 km","Otomatik","LPG & Benzin","Sedan","Siyah","1595 cc","125 hp","Önden Çekiş","İkinci El","7,1 lt","50 lt","Takasa Uygun Değil","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-renault-megane-1-5-dci-privilege/sahibinden-renault-megane-1-5-dci-privilege-2012-model/35316495","35316495",30 Kasım 2025,"Buca","İzmir","755.000 TL","Renault","Megane","1.5 dCi Privilege","2012","194.000 km","Düz","Dizel","Hatchback/5","Beyaz","1461 cc","110 hp","Önden Çekiş","İkinci El","4,4 lt","60 lt","Takasa Uygun","Sahibinden"
